지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 풍속(m/s)
108,서울,2019-07-01,23.9,,2.3
108,서울,2019-07-02,24.4,,2.3
108,서울,2019-07-03,24.1,,1.7
108,서울,2019-07-04,25.4,,1.9
108,서울,2019-07-05,27.6,.83,1.5
108,서울,2019-07-06,29.7,,1.7
108,서울,2019-07-07,26.7,,2.2
108,서울,2019-07-08,25.1,,2
108,서울,2019-07-09,25,,1.8
108,서울,2019-07-10,22.7,10.83,2
108,서울,2019-07-11,21.9,10.92,1.3
108,서울,2019-07-12,23.6,,2
108,서울,2019-07-13,24.9,.33,1.7
108,서울,2019-07-14,25.9,,1.6
108,서울,2019-07-15,23.8,6.83,1.1
108,서울,2019-07-16,24.7,2,1.3
108,서울,2019-07-17,25.6,.42,1.2
108,서울,2019-07-18,26.9,,1.2
108,서울,2019-07-19,28.6,.25,1.5
108,서울,2019-07-20,28,7.33,2.1
108,서울,2019-07-21,25.1,12.33,2.2
108,서울,2019-07-22,26.7,1.25,2.2
108,서울,2019-07-23,28.1,,1.7
108,서울,2019-07-24,26.5,11.75,1.6
108,서울,2019-07-25,26.3,12.38,1.2
108,서울,2019-07-26,25.1,19,1.7
108,서울,2019-07-27,28.4,3.5,1.3
108,서울,2019-07-28,26.1,15.42,2.2
108,서울,2019-07-29,27.5,.75,2.6
108,서울,2019-07-30,28.1,3.08,3.4
108,서울,2019-07-31,25.8,14.92,2.2
